X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,COMPTYPE,SEGKEY,UNITTYPE,OLD_ID,APPROACH,MARKING_TYPE,SCHOOL,MIDBLOCK_CROSSWALK,INSTALL_DATE,COLOR,COMMENTS,CATEGORY,OWNERSHIP_DATE,CURRENT_STATUS_DATE,MAINTAINED_BY,MAINTENANCE_AGREEMENT,CURBSPACEID,MAINT_DISTRICT,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT,CROSSWALK_CONTROL,MATERIAL,ONSTREET,XSTRLOW,MEAS_FROM_LOW,DISTTOLOW,STPOINT,XSTRHI,MEAS_FROM_HI,DISTTOHI,OFFSET,SIDE,MEASUREMENT_ORIGIN,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,MAINTENANCE_GROUP,NUM_ATTACHMENTS
1267839.43372539,228100.021943718,11,522505,XWK-1214,BELL ST 0030 BLOCK C SIDE ( 289) 33 FT SW/O 4TH AVE,GOOD,2015/12/17 00:00:00+00, ,INSVC,DISTRICT7, ,N,16,9200,XWK,Old ID # 349,SW,PARSL,N,N,1970/01/01 00:00:00+00,WHT,"4 AVE & BELL ST, W",XWK,1970/01/01 00:00:00+00,2009/01/22 00:00:00+00, ,,,CENTRAL,,-122.344022459951,47.6153008333443, ,RAISED-PCC,BELL ST,3RD AVE,N,289,0,4TH AVE,Y,33,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR2,0
1265355.9521438,228287.4963063,12,522826,XWK-3842,BROAD ST 0002 BLOCK C SIDE (  45) 45 FT NE/O ELLIOTT AVE,POOR,2014/07/01 00:00:00+00, ,INSVC,DISTRICT7, ,N,16,9411,XWK,Old ID # 953,NE,LADER,N,N,1970/01/01 00:00:00+00,WHT,"WI #29235 <br>ELLIOTT AVE & BROAD ST, E",XWK,1970/01/01 00:00:00+00,2009/01/22 00:00:00+00, ,,,CENTRAL,,-122.354104642334,47.6156806024475,SIGNAL,THRPL,BROAD ST,ELLIOTT AVE,Y,45,0,WESTERN AVE,N,277,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR4,0
1261585.08370131,245302.31135796,13,520897,XWK-2199,11TH AVE NW 0450 BLOCK C SIDE ( 235) 31 FT S/O NW 46TH ST,POOR,2012/07/30 00:00:00+00, ,INSVC,DISTRICT6, ,N,16,1427,XWK,Old ID # 379,S,LADER,N,N,1970/01/01 00:00:00+00,WHT,"WI #18603 <br>NW 46 ST & 11 AVE NW, S",XWK,1970/01/01 00:00:00+00,2009/01/28 00:00:00+00, ,,,NORTH,,-122.370768571012,47.662111903519, ,THRPL,11TH AVE NW,NW 45TH ST,N,235,0,NW 46TH ST,Y,31,0,C,XStreet Centerline,,,,,,,,,,XWK-CD6-YEAR4,0
1268534.68495956,226066.335722387,14,523098,XWK-1149,PINE ST 0008 BLOCK C SIDE ( 129) 35 FT SW/O 1ST AVE,GOOD,2014/06/20 00:00:00+00, ,INSVC,DISTRICT7, ,N,16,12212,XWK,Old ID # 45,SW,LADER,N,N,1970/01/01 00:00:00+00,WHT,"WI #17952 <br>1 AVE & PINE ST, W",XWK,1970/01/01 00:00:00+00,2009/01/22 00:00:00+00, ,,,CENTRAL,,-122.341042615012,47.6097639521627, ,THRPL,PINE ST,POST AL,N,129,0,1ST AVE,Y,35,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR4,0
1273015.50605039,229661.821313545,15,631009,XWK-5691,E OLIVE WAY 0166 BLOCK C SIDE (  79) 79 FT E/O BOYLSTON W AVE E,GOOD,2017/06/19 00:00:00+00,SDOT,INSVC,DISTRICT3, ,N,16,14589,XWK,,W,LADER,N,N,1970/01/01 00:00:00+00,WHT,<p>Remarked per WO 517621</p>,XWK,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,SDOT,,,CENTRAL,,-122.323162896555,47.6198582930093, ,THRPL,E OLIVE WAY,BOYLSTON W AVE E,Y,79,0,BOYLSTON E AVE E,N,22,0,C,XStreet Centerline,,,,,,,,,,XWK-CD3-YEAR1,0
1277617.12184714,240824.645444557,16,524520,XWK-3847,NE PACIFIC PL 0180 BLOCK C SIDE ( 568) 390 FT W/O MONTLAKE BLVD NE,GOOD,2018/06/07 00:00:00+00,SDOT,INSVC,DISTRICT4, ,N,16,18037,XWK,Old ID # 954,C,LADER,N,N,1970/01/01 00:00:00+00,WHT,"NE PACIFIC PL & 300 FT W/O MONTLAKE BLVD, MB",XWK,1970/01/01 00:00:00+00,2012/12/17 00:00:00+00, ,,,NORTH,,-122.305373445803,47.6506981240976, ,THRPL,NE PACIFIC PL,NE PACIFIC ST,N,568,0,MONTLAKE BLVD NE,Y,390,0,C,XStreet Centerline,,,,,,,,,,XWK-CD4-YEAR2,0
1279178.20501105,200027.167328387,17,524286,XWK-3572,S MYRTLE ST 0280 BLOCK C SIDE (  46) 46 FT E/O BEACON ER AVE S,GOOD,2019/07/23 00:00:00+00,SDOT,INSVC,DISTRICT2, ,N,16,20912,XWK,Old ID # 853,E,LADER,N,N,1970/01/01 00:00:00+00,WHT,"WI #11763 9/4/96 <br> WI #38026 8/14/08<br>BEACON AVE S & S MYRTLE ST, E",XWK,1970/01/01 00:00:00+00,2008/10/17 00:00:00+00, ,,,SOUTH,,-122.295895374794,47.5389541678953,SIGNAL,THRPL,S MYRTLE ST,BEACON ER AVE S,Y,46,0,S MYRTLE PL,N,1106,0,C,XStreet Centerline,,,,,,,,,,XWK-CD2-YEAR3,0
,,18,522596,XWK-3265,ALASKAN WAY S 0010 BLOCK C SIDE ( 615) 33 FT NW/O PIER 48 ACCESS RD,GOOD,2012/11/30 00:00:00+00, ,INSVC,DISTRICT7, ,N,16,8735,XWK,Old ID # 736,NW,PARSL,N,N,1970/01/01 00:00:00+00,WHT,"ALASKAN WAY S & S MAIN ST, N",XWK,1970/01/01 00:00:00+00,2008/10/31 00:00:00+00, ,,,SOUTH,,-127.390658288157,46.8083000791101, ,THRPL,ALASKAN WAY S,YESLER WAY,N,615,0,PIER 48 ACCESS RD,Y,33,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR4,0
1269879.33876631,230515.731351137,19,631171,XWK-5703,HARRISON ST 0100 BLOCK C SIDE ( 298) 24 FT W/O BOREN AVE N,GOOD,2019/07/23 00:00:00+00,SDOT,INSVC,DISTRICT7, ,N,16,10768,XWK,,W,LADER,N,N,1970/01/01 00:00:00+00, ,,XWK,1970/01/01 00:00:00+00,2018/05/11 00:00:00+00, ,,,CENTRAL,,-122.335944590776,47.6220316850706,STOPSIGN,THRPL,HARRISON ST,TERRY AVE N,N,298,0,BOREN AVE N,Y,24,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR3,0
1270228.81903848,220890.307688639,20,522978,XWK-796,RAILROAD WAY S 0080 BLOCK C SIDE ( 105) 105 FT SE/O 1ST S AVE S,GOOD,2012/10/15 00:00:00+00, ,INSVC,DISTRICT2, ,N,16,12337,XWK,Old ID # 20,SE,LADER,N,N,1970/01/01 00:00:00+00,WHT,"Upgraded to PC-LD Visual 08 <br>1 AVE S & RAILROAD WAY S, E",XWK,1970/01/01 00:00:00+00,2008/10/02 00:00:00+00, ,,,SOUTH,,-122.333766790595,47.5956673999814,STOPSIGN,THRPL,RAILROAD WAY S,1ST S AVE S,Y,105,0,OCCIDENTAL AVE S,N,188,0,C,XStreet Centerline,,,,,,,,,,XWK-CD2-YEAR1,0
1255940.83449115,237161.900473461,21,521366,XWK-4879,28TH AVE W 0230 BLOCK C SIDE ( 136) 28 FT S/O W MCGRAW S ST,FAIR,2014/07/10 00:00:00+00, ,INSVC,DISTRICT7, ,N,16,4239,XWK,Old ID # 175,S,LADER,Y,N,1970/01/01 00:00:00+00,WHT,"<P>School # 054<BR>28 AVE W &amp; W MCGRAW ST (FR W), S</P>
<P>Field showed good 4/15/12</P>",XWK,1970/01/01 00:00:00+00,2012/04/15 00:00:00+00, ,,,CENTRAL,,-122.392999284334,47.6394882497506, ,THRPL,28TH AVE W,W LYNN N ST,N,136,0,W MCGRAW S ST,Y,28,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR1,0
1285038.99873564,190908.12782371,22,524982,XWK-3628,S BOND ST 0470 BLOCK C SIDE ( 577) 356 FT W/O 51ST AVE S,FAIR,2015/07/01 00:00:00+00, ,INSVC,DISTRICT2, ,N,16,19509,XWK,Old ID # 872,C,LADER,N,N,1970/01/01 00:00:00+00,WHT,"WI #37402 5/6/07 <br>S BOND ST & CHIEF SEALTH TRAIL CROSSING,",XWK,1970/01/01 00:00:00+00,2008/11/16 00:00:00+00, ,,,SOUTH,,-122.271482208349,47.5142616281739, ,THRPL,S BOND ST,BEACON AVE S,N,577,0,51ST AVE S,Y,356,0,C,XStreet Centerline,,,,,,,,,,XWK-CD2-YEAR4,0
1280955.78413306,214337.188248962,23,521353,XWK-2835,34TH AVE S 0280 BLOCK C SIDE (  26) 26 FT S/O S MCCLELLAN ST,FAIR,2014/08/19 00:00:00+00, ,INSVC,DISTRICT2, ,N,16,5265,XWK,Old ID # 594,S,LADER,Y,N,1970/01/01 00:00:00+00,WHT,"WI #13959 8/27/98 <br> School # 59<br>34 AVE S & S MCCLELLAN ST, S",XWK,1970/01/01 00:00:00+00,2008/11/14 00:00:00+00, ,,,SOUTH,,-122.2897965159,47.5782703315685,STOPSIGN,THRPL,34TH AVE S,S MCCLELLAN ST,Y,26,0,S MOUNT BAKER WB BV,N,422,0,C,XStreet Centerline,,,,,,,,,,XWK-CD2-YEAR4,0
1265995.09194164,227645.764322057,24,574480,XWK-5162,ELLIOTT AVE 0260 BLOCK C SIDE (  20) 20 FT NW/O VINE ST,GOOD,2012/09/30 00:00:00+00, ,INSVC,DISTRICT7, ,N,16,10206,XWK,,W,LADER,N,N,1970/01/01 00:00:00+00,WHT,WO 59478,XWK,1970/01/01 00:00:00+00,2011/10/07 00:00:00+00, ,,,CENTRAL,,-122.351462448924,47.6139562376689, ,THRPL,ELLIOTT AVE,VINE ST,Y,20,0,CEDAR ST,N,286,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR4,0
1266542.84609547,212166.808403388,25,545821,XWK-5128,SW SPOKANE NR ST 0100 BLOCK C SIDE ( 405) 0 FT E/O WEST SEATTLE BRIDGE TRL,GOOD,2015/07/01 00:00:00+00, ,INSVC,DISTRICT1, ,N,16,486180,XWK,,E,LADER,N,N,1970/01/01 00:00:00+00,WHT,,XWK,1970/01/01 00:00:00+00,2011/12/01 00:00:00+00, ,,,SOUTH,,-122.3480069883,47.5715586529343, ,THRPL,SW SPOKANE NR ST,SW SPOKANE ST,N,405,0,WEST SEATTLE BRIDGE TRL,Y,0,0,C,XStreet Centerline,,,,,,,,,,XWK-CD1-YEAR4,0
1281836.64490414,211763.112032294,26,521550,XWK-2912,37TH AVE S 0360 BLOCK C SIDE ( 120) 33 FT N/O YORK RD S,GOOD,2013/10/29 00:00:00+00, ,INSVC,DISTRICT2, ,N,16,5729,XWK,Old ID # 627,N,LADER,Y,N,1970/01/01 00:00:00+00,WHT,"WI #13959 8/27/98 <br> School # 59<br>37 AVE S & YORK RD S, N",XWK,1970/01/01 00:00:00+00,2013/07/16 00:00:00+00, ,,,SOUTH,,-122.286031439372,47.5712604261228, ,THRPL,37TH AVE S,S SPOKANE ST,N,120,0,YORK RD S,Y,33,0,C,XStreet Centerline,,,,,,,,,,XWK-CD2-YEAR4,0
1255750.6898583,193897.81738238,27,522091,XWK-2463,45TH AVE SW 0912 BLOCK C SIDE ( 440) 440 FT S/O SW DIRECTOR PL,GOOD,2017/05/02 00:00:00+00,SDOT,INSVC,DISTRICT1, ,N,16,6874,XWK,Old ID # 301,N,LADER,N,N,1970/01/01 00:00:00+00,WHT,"<p>WI # 15577 <br>remarked 9/11/08 Halfcard<br>45 AVE SW &amp; SW WILDWOOD PL, N</p><p><br></p><p>Remarked 5/2/2017 per WO 516535</p>",XWK,1970/01/01 00:00:00+00,2015/08/18 00:00:00+00,SDOT,,,SOUTH,,-122.390220306451,47.5208939322951,STOPSIGN,THRPL,45TH AVE SW,SW DIRECTOR PL,Y,440,0,SW WILDWOOD PL,N,39,0,C,XStreet Centerline,,,,,,,,,,XWK-CD1-YEAR1,0
1265607.06647098,255999.667587891,28,522566,XWK-274,GREENWOOD AVE N 0850 BLOCK C SIDE ( 386) 386 FT N/O N 85TH ST,GOOD,2017/08/16 00:00:00+00,SDOT,INSVC,DISTRICT6, ,N,16,10752,XWK,Old ID # 258,C,LADER,N,N,1970/01/01 00:00:00+00,WHT,"<p>GREENWOOD AVE N &amp; 600 FT n/o N 85 ST, MB</p><p><br></p><p><font color=""#1a1a1a""><br></font></p><p><font color=""#1a1a1a"">Remarked per WO 534614</font></p>",XWK,1970/01/01 00:00:00+00,2009/02/10 00:00:00+00,SDOT,,,NORTH,,-122.355308673596,47.6916518988346,SIGNAL,THRPL,GREENWOOD AVE N,N 85TH ST,Y,386,0,N 87TH ST,N,279,0,C,XStreet Centerline,,,,,,,,,,XWK-CD6-YEAR1,0
1260894.28062098,245590.151005387,29,575332,XWK-5172,14TH AVE NW 0460 BLOCK C SIDE ( 241) 25 FT S/O NW BALLARD WAY,POOR,2012/07/30 00:00:00+00, ,INSVC,DISTRICT6, ,N,16,1886,XWK,,S,LADER,N,N,2010/04/14 00:00:00+00, ,"Asset installed via WO#3880&nbsp;/ WI#46805",XWK,1970/01/01 00:00:00+00,2011/11/03 00:00:00+00, ,,,NORTH,,-122.373594728059,47.6628629873938,STOPSIGN,THRPL,14TH AVE NW,NW 46TH ST,N,241,0,NW BALLARD WAY,Y,25,0,C,XStreet Centerline,,,,,,,,,,XWK-CD6-YEAR4,0
1270083.48796432,218864.450191796,30,521220,XWK-790,1ST AVE S 0150 BLOCK C SIDE (  75) 75 FT S/O S ATLANTIC ST,GOOD,2014/12/31 00:00:00+00,SDOT,INSVC,DISTRICT2, ,N,16,1203,XWK,Old ID # 30,S,LADER,N,N,1970/01/01 00:00:00+00, ,"PRIVATE CONTRACTOR 4/26/97 <br>not visible<br>1 AVE S & S ATLANTIC ST, S",XWK,1970/01/01 00:00:00+00,2013/10/29 00:00:00+00, ,,,SOUTH,,-122.334195572598,47.5901068183319,SIGNAL,THRPL,1ST AVE S,S ATLANTIC ST,Y,75,0,S MASSACHUSETTS ST,N,685,0,C,XStreet Centerline,,,,,,,,,,XWK-CD2-YEAR1,0
1271478.83392689,222765.977493718,31,525390,XWK-711,S WASHINGTON ST 0040 BLOCK C SIDE (  28) 28 FT E/O 4TH AVE S,GOOD,2014/05/03 00:00:00+00, ,INSVC,DISTRICT2, ,N,16,21494,XWK,Old ID # 138,E,LADER,N,N,1970/01/01 00:00:00+00,WHT,"4 AVE S & S WASH ST, PREFONTAINE PL S, E",XWK,1970/01/01 00:00:00+00,2012/02/21 00:00:00+00, ,,,SOUTH,,-122.328849268106,47.6008752577804, ,THRPL,S WASHINGTON ST,4TH AVE S,Y,28,0,5TH AVE S,N,293,0,C,XStreet Centerline,,,,,,,,,,XWK-CD2-YEAR1,0
1268363.10459407,240547.610893637,32,524019,XWK-412,N 35TH ST 0110 BLOCK C SIDE ( 291) 291 FT E/O WOODLAND PARK AVE N,GOOD,2017/06/26 00:00:00+00,SDOT,INSVC,DISTRICT4, ,N,16,15304,XWK,Old ID # 479,W,LADER,N,N,1970/01/01 00:00:00+00,WHT,"<p>WI #18482 <br>STONE WAY N &amp; N 35 ST, W</p><p><br></p><p>Remarked per WO 528518</p>",XWK,1970/01/01 00:00:00+00,2009/02/10 00:00:00+00,SDOT,,,NORTH,,-122.342889576452,47.6494473502959,SIGNAL,THRPL,N 35TH ST,WOODLAND PARK AVE N,Y,291,0,STONE WAY N,N,40,0,C,XStreet Centerline,,,,,,,,,,XWK-CD4-YEAR1,0
1270015.16198547,226161.730544716,33,522107,XWK-1271,5TH AVE 0140 BLOCK C SIDE ( 180) 180 FT NW/O UNION ST,GOOD,2013/11/30 00:00:00+00, ,INSVC,DISTRICT7, ,N,16,7235,XWK,Old ID # 422,C,PARSL,N,N,1970/01/01 00:00:00+00,WHT,"5 AVE & 210 S/O PIKE ST, MB",XWK,1970/01/01 00:00:00+00,2009/01/22 00:00:00+00, ,,,CENTRAL,,-122.335049437048,47.6101047804738, ,THRPL,5TH AVE,UNION ST,Y,180,0,PIKE ST,N,246,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR2,0
1287350.59581847,249775.862778306,34,524265,XWK-1908,NE 65TH ST 0580 BLOCK C SIDE ( 111) 111 FT E/O 58TH AVE NE,GOOD,2016/11/04 00:00:00+00,SDOT,INSVC,DISTRICT4, ,N,16,17318,XWK,Old ID # 15,W,LADER,N,N,1970/01/01 00:00:00+00,WHT,"<P>Remarked per WO 467534 during AMM work - 11/4/2016</P>
<P>Remark 3/5/08 WI #38<BR>NE 65 ST &amp; 110 ft e/o 58 AVE NE, MB</P>",XWK,1970/01/01 00:00:00+00,2009/02/09 00:00:00+00,SDOT,,,NORTH,,-122.266565963105,47.6757370460335, ,THRPL,NE 65TH ST,58TH AVE NE,Y,111,0,SAND POINT WAY NE,N,744,0,C,XStreet Centerline,,,,,,,,,,XWK-CD4-YEAR4,0
1268949.84390615,232398.828962877,35,522173,XWK-4413,ALOHA ST 0080 BLOCK C SIDE ( 286) 60 FT W/O 9TH AVE N,FAIR,2014/08/07 00:00:00+00, ,INSVC,DISTRICT7, ,N,16,8816,XWK,Old ID # 1195,W,LADER,N,N,1970/01/01 00:00:00+00,WHT,"WI #27362 7/03 <br>WESTLAKE AVE N & ALOHA ST (9 AVE N), SW",XWK,1970/01/01 00:00:00+00,2009/01/14 00:00:00+00, ,,,CENTRAL,,-122.33986241015,47.6271433727407,STOPSIGN,THRPL,ALOHA ST,8TH AVE N,N,286,0,9TH AVE N,Y,60,0,C,XStreet Centerline,,,,,,,,,,XWK-CD7-YEAR1,0
1280915.47515856,247921.984596297,36,524436,XWK-2890,NE 57TH ST 0330 BLOCK C SIDE (  25) 25 FT E/O 33RD AVE NE,GOOD,2015/08/12 00:00:00+00, ,INSVC,DISTRICT4, ,N,16,17088,XWK,Old ID # 619,E,LADER,Y,N,1970/01/01 00:00:00+00,WHT,"WI #36034 11/14/06 <br>33 AVE NE & NE 57 ST, E",XWK,1970/01/01 00:00:00+00,2009/02/09 00:00:00+00, ,,,NORTH,,-122.292539739134,47.6703240493198, ,THRPL,NE 57TH ST,33RD AVE NE,Y,25,0,34TH AVE NE,N,273,0,C,XStreet Centerline,,,,,,,,,,XWK-CD4-YEAR4,0
1263609.09802598,212367.832279548,37,525440,XWK-4871,SW SPOKANE ST 0200 BLOCK C SIDE ( 188) 58 FT SE/O WEST MARGINAL WAY SW,GOOD,2015/11/22 00:00:00+00,SDOT,INSVC,DISTRICT1, ,N,16,22812,XWK,Old ID # 677,SE,LADER,N,N,1970/01/01 00:00:00+00,WHT,"<P>Remarked 11/22/2015&nbsp;per Group Project 43441</P>
<P>&nbsp;</P>
<P>SW SPOKANE ST(WMARG) &amp; CHELAN AVE SW (DELRIDGE WY SW), SE</P>",XWK,1970/01/01 00:00:00+00,2009/02/15 00:00:00+00, ,,,SOUTH,,-122.359905517861,47.5719507383225,SIGNAL,THRPL,SW SPOKANE ST,WEST MARGINAL TURN RD,N,188,0,WEST MARGINAL WAY SW,Y,58,0,C,XStreet Centerline,,,,,,,,,,XWK-CD1-YEAR4,0
