OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
1349,"2119,2118",15TH AVE NW,1782,N,1970/01/01 00:00:00+00,,,32000,,32000,Estimate,,1360.93800070239
1350,"23541,23540",WEST MARGINAL WAY SW,196,N,2015/08/10 00:00:00+00,,,9448,8316,9400,Study - 13-15,,1656.74221143893
1351,"23356,11605,11604","W GALER ST,MAGNOLIA BR",1203,N,2015/07/30 00:00:00+00,,,20000,9023,13000,Study - 13-15,,2507.29824771879
1352,"9404,9405,9406,9407",BRIDGE WAY N,1354,N,2018/02/15 12:15:00+00,858,1074,12557,11666,12600,Study,,1108.56641711296
1353,"13765,13764, 13766",YESLER WAY,606,Y,2015/03/11 00:00:00+00,,,7215,6601,7200,Study - 13-15,,1389.62848205834
1354,"10492,10493,10489,10490,10491",FREMONT AVE N,1413,N,2018/04/18 00:00:00+00,628,676,8450,8404,8700,Study(Normalized),,1756.49686791418
1355,"7225,7224",5TH AVE,643,Y,1970/01/01 00:00:00+00,,,7000,,7000,Estimate,,611.261255498793
1356,"9111,9114,9113,9112",BEACON AVE S,480,N,2018/07/25 00:00:00+00,209,545,4660,4588,4500,Study(Normalized),,1872.83831446696
1357,"11185,11187,11186,11183,11184",LAKE CITY WAY NE,1914,N,1970/01/01 00:00:00+00,,,38000,,38000,Estimate,,3402.14348107519
1358,21281,S SPOKANE ST,366,N,1970/01/01 00:00:00+00,,,3000,,3000,Estimate,,341.429435329934
1359,"2475,2476,2477,2474",17TH AVE S,465,N,2018/03/29 00:00:00+00,490,516,5401,4908,5300,Study(Normalized),,1569.75872500416
1360,12042,OLIVE WAY,869,Y,2015/12/01 00:00:00+00,,,7973,7396,8000,Study - 13-15,,333.872230836129
1361,"22829,7834,166288,10905,166287,7863,166289,7864,7862,22675,22676,22674","SW SPOKANE ST,58TH AVE SW,59TH AV SW TURN,HILLCREST AVE SW,59TH AVE SW,SW ORLEANS ST",418,N,2017/12/11 12:45:00+00,105,133,1298,1280,1300,Study,,3808.22609679761
