X,Y,OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT
-122.381060811074,47.6799581370967,21,5737,1259180.2778,251861.52645,23923,13,2329,BLRD,19TH AVE NW AND NW CANOE PL,0, ,NONE,-122.381060812427,47.6799581370782
-122.263498157533,47.6728277637297,22,6604,1288086.51885,248700.77919,26287,13,17522,NE,60TH AVE NE AND NE 61ST ST,0, ,NONE,-122.263498158886,47.6728277637126
-122.38190798185,47.7004614509367,23,4041,1259122.11665,259343.12595,36919,13,230151,BLRD,NW 98TH ST AND DEAD END 1,0, ,NONE,-122.381907983204,47.7004614509182
-122.330921817391,47.5541477988485,24,15916,1270635.93989,205734.60596,33154,13,64516,GRDWM,3RD AVE S AND S BRANDON ST,0, ,NONE,-122.330921818741,47.5541477988306
-122.308712050046,47.6747725479801,25,6343,1276962.73388,249620.31429,25975,13,15508,NE,18TH AVE NE AND NE 63RD ST,0, ,NONE,-122.308712051399,47.6747725479625
-122.349564982528,47.6444002895762,26,9227,1266681.78974,238739.31844,28059,13,29517,MGNL-QA,4TH AVE N AND NEWELL ST,0, ,NONE,-122.34956498388,47.6444002895581
-122.308642613451,47.6268586247661,27,10785,1276644.80518,232145.84618,29323,13,37528,E,18TH AVE E AND E ALOHA ST,3, ,NONE,-122.308642614803,47.6268586247485
-122.299035818762,47.5421142945213,28,16894,1278424.59244,201194.41882,167607,13,72277,GRDWM,BEACON ER AVE S AND S BRIGHTON ST,2, ,NONE,-122.299035820111,47.5421142945038
-122.274064036375,47.5101898486333,29,19155,1284373.2793,189435.07903,38155,13,305305,SE,47TH AVE S AND S VICTOR ST,0, ,NONE,-122.274064037724,47.5101898486161
-122.30233883926,47.5464261015447,30,16554,1277638.94815,202782.48256,33402,13,65767,GRDWM,24TH AVE S AND S GRAHAM ST,2, ,NONE,-122.30233884061,47.5464261015272
-122.322990129882,47.6589349636678,31,8015,1273334.0012,243912.14661,27084,13,23124,LKUN,5TH AVE NE AND NE 43RD ST,0, ,NONE,-122.322990131235,47.65893496365
-122.357929234131,47.6287188721046,32,10606,1264507.04721,233061.1345,28589,13,34147,MGNL-QA,1ST AVE W AND W PROSPECT ST,0, ,NONE,-122.357929235483,47.6287188720864
-122.279505239847,47.6731534433029,33,6545,1284145.76698,248893.25023,26103,13,16115,NE,45TH AVE NE AND OBERLIN AVE NE,0, ,NONE,-122.2795052412,47.6731534432856
-122.300628000911,47.5750840753604,34,14143,1278260.69484,213225.94651,31501,13,52349,GRDWM,25TH AVE S AND S HANFORD W ST,0, ,NONE,-122.300628002261,47.5750840753429
-122.339287804601,47.7032301782436,35,3881,1269634.58411,260144.60793,37285,13,232111,NW,ASHWORTH AVE N AND N 103RD ST,0, ,NONE,-122.339287805954,47.7032301782256
-122.27749037434,47.6488328207068,36,8981,1284475.61146,240014.16132,27383,13,25324,NE,WEBSTER POINT RD NE AND DEAD END,0, ,NONE,-122.277490375692,47.6488328206895
-122.3185956733,47.5850834949465,37,13399,1273896.87301,216957.77858,31252,13,51128,GRDWM,11TH AVE S AND BEACON AVE S,2, ,NONE,-122.318595674651,47.5850834949288
-122.307754868889,47.6812524397804,38,5706,1277243.78527,251979.00537,24775,13,6720,NE,19TH AVE NE AND NE 73RD ST,0, ,NONE,-122.307754870242,47.6812524397628
-122.3213977564,47.5798078121247,39,13772,1273168.27781,215047.11182,31299,13,51316,GRDWM,AIRPORT WAY S AND S LANDER N ST,1, ,CITY,-122.32139775775,47.5798078121069
-122.279375747187,47.6612924237166,40,7820,1284096.3728,244566.92011,27317,13,25116,NE,45TH AVE NE AND NE 45TH ST,3, ,NONE,-122.279375748539,47.6612924236993
-122.332784115968,47.7264249651092,41,2739,1271400.49899,268572.4185,35952,13,220708,NW,BAGLEY AVE N AND DEAD END 3,0, ,NONE,-122.332784117322,47.7264249650913
-122.28464972799,47.5324449647234,42,17610,1281910.66374,197600.67622,34579,13,73735,GRDWM,38TH AVE S AND DEAD END 2 ,0, ,NONE,-122.284649729339,47.5324449647061
-122.34609444989,47.708688904663,43,3546,1267998.06878,262168.25235,36404,13,225716,NW,WHITMAN AVE N AND DEAD END,0, ,NONE,-122.346094451244,47.708688904645
-122.306350240668,47.6035126491097,44,12337,1277046.98425,223620.77814,30214,13,41756,CNTRL,20TH AVE AND E SPRUCE ST,0, ,NONE,-122.306350242019,47.6035126490921
-122.294170819003,47.57600843561,45,14078,1279860.65721,213532.73947,31512,13,52456,SE,30TH AVE S AND S MOUNT BAKER WB S BV,3, ,NONE,-122.294170820353,47.5760084355925
-122.380087589116,47.5664891278796,46,14959,1258588.13521,210475.50248,31889,13,54316,SW,38TH AVE SW AND SW DAKOTA ST,0, ,NONE,-122.380087590466,47.5664891278611
-122.350049822793,47.702894391811,47,3897,1266982.78814,260074.18541,37392,13,232513,NW,FREMONT AVE N AND N 102ND ST,0, ,NONE,-122.350049824146,47.7028943917929
-122.364422495917,47.6302414139817,48,10480,1262917.30564,233648.18013,28622,13,34181,MGNL-QA,6TH AVE W AND DEAD END 3,0, ,NONE,-122.364422497269,47.6302414139634
-122.378884588546,47.6678950849869,49,6969,1259627.88817,247451.45029,25149,13,11301,BLRD,17TH AVE NW AND NW 54TH ST,0, ,NONE,-122.378884589898,47.6678950849684
-122.333781358168,47.693793203798,50,4620,1270923.04671,256676.48966,37592,13,233728,NW,MERIDIAN AVE N AND N 90TH S ST,0, ,NONE,-122.333781359522,47.6937932037801
-122.32666675574,47.5612103923134,51,15344,1271736.44447,208289.8907,32387,13,57731,GRDWM,6TH AVE S AND S ALASKA ST,0, ,NONE,-122.32666675709,47.5612103922955
-122.272646361734,47.5504035425054,52,16282,1284997.91264,204094.50228,33522,13,66335,SE,48TH AVE S AND S MEAD ST,0, ,NONE,-122.272646363084,47.5504035424882
-122.283072374782,47.6212441291387,53,11220,1282910.41235,229978.41398,29469,13,38734,E,LAKE WASHINGTON BLVD E AND MCGILVRA BLVD E,3, ,NONE,-122.283072376133,47.6212441291214
-122.294863274624,47.6152793738496,54,11636,1279961.80153,227858.06864,30005,13,41128,CNTRL,29TH AVE AND E PINE ST,0, ,NONE,-122.294863275976,47.6152793738322
-122.320263483099,47.6874927923123,55,5152,1274207.08025,254314.13036,24389,13,5118,N,8TH AVE NE AND NE 81ST ST,0, ,NONE,-122.320263484453,47.6874927922945
-122.32020334579,47.5818843015199,56,13640,1273477.65023,215798.7035,31334,13,51458,GRDWM,S STACY ST AND DEAD END 1,0, ,NONE,-122.320203347141,47.5818843015021
-122.28224402822,47.6948020557426,57,4561,1283619.80064,256801.22131,38454,13,235721,NE,42ND AVE NE AND NE 92ND S ST,0, ,NONE,-122.282244029573,47.6948020557253
-122.374364414752,47.6406865741211,58,9561,1260542.68138,237506.37662,340119,13,28657,MGNL-QA,GILMAN UPPER DR W AND W WHEELER ST,0, ,NONE,-122.374364416105,47.6406865741027
-122.340889129156,47.6325525716064,59,47040,1268735.36619,234376.49629,516428,13,29472,MGNL-QA,8TH AVE N AND WESTLAKE N AVE N,1, ,CITY,-122.340889130508,47.6325525715884
-122.320598715699,47.5230594682308,60,18220,1272965.4334,194347.35961,286961,13,78453,GRDWM,DUWAMISH RIVER TRL AND S HENDERSON ST,, ,NONE,-122.320598717048,47.5230594682131
-122.337599418562,47.6018427882603,61,47117,1269327.37874,223160.90332,534668,13,43223,DWNTN,COLMAN DOCK ACCESS RD AND DEAD END,0, ,NONE,-122.337599419913,47.6018427882423
-122.33890369413,47.6092851427311,62,11969,1269058.7733,225881.38742,29592,13,39318,DWNTN,2ND AVE AND PIKE ST,1, ,CITY,-122.338903695481,47.6092851427132
-122.29910583107,47.6176368158363,63,11471,1278931.97036,228737.72611,30040,13,41164,CNTRL,E HOWELL ST AND DEAD END,0, ,NONE,-122.299105832421,47.6176368158189
-122.388937556693,47.6434654932072,64,9266,1256971.28452,238592.09924,27647,13,27528,MGNL-QA,25TH AVE W AND W RAYE ST,0, ,NONE,-122.388937558045,47.6434654931886
-122.398317854056,47.668624178432,65,6852,1254846.03626,247814.10603,25064,13,10301,BLRD,32ND AVE NW AND NW MARKET ST,3, ,NONE,-122.398317855409,47.6686241784134
-122.339768873285,47.6208789307406,66,11168,1268928.17694,230113.764,28790,13,35336,LKUN,9TH AVE N AND THOMAS ST,1, ,NONE,-122.339768874637,47.6208789307226
-122.324460075274,47.6722547471074,67,6584,1273065.9564,248776.85087,25827,13,14518,LKUN-NW,4TH AVE NE AND NE 60TH ST,0, ,NONE,-122.324460076627,47.6722547470896
-122.289910504237,47.5724752414834,68,14415,1280887.64755,212224.25358,32644,13,59521,SE,34TH AVE S AND S HINDS ST,0, ,NONE,-122.289910505588,47.572475241466
-122.371623310723,47.6371672110047,69,9896,1261192.63159,236209.37233,27971,13,28747,MGNL-QA,11TH AVE W AND GILMAN UPPER DR W,0, ,NONE,-122.371623312075,47.6371672109863
-122.372762833091,47.6906265432691,70,4836,1261301.80254,255711.22348,37268,13,231744,BLRD,13TH AVE NW AND NW 85TH ST,1, ,NONE,-122.372762834445,47.6906265432507
-122.331276652803,47.7068313818401,71,3650,1271632.33259,261419.46157,36590,13,226727,NW,CORLISS AVE N AND CORLISS AV I5 SB ON RP,5, ,NONE,-122.331276654157,47.7068313818222
-122.29697055191,47.586894852438,72,13282,1279245.24499,217516.13506,31413,13,52119,SE,28TH AVE S AND S GRAND ST,0, ,NONE,-122.296970553261,47.5868948524206
-122.300247257435,47.5869046443001,73,13277,1278436.84127,217535.10159,31416,13,52122,SE,25TH AVE S AND S GRAND ST,0, ,NONE,-122.300247258786,47.5869046442826
-122.287189642644,47.5715813011443,74,14623,1281553.00179,211885.53409,32655,13,59534,SE,COURTLAND PL S AND S SPOKANE ST,0, ,NONE,-122.287189643995,47.5715813011269
-122.289821954731,47.5767476496658,75,14024,1280938.99475,213781.98568,30870,13,46730,SE,34TH AVE S AND S MOUNT BAKER EB BV,3, ,NONE,-122.289821956081,47.5767476496484
-122.344589593623,47.6586701202698,76,8014,1268010.22264,243919.3356,26819,13,22134,LKUN,WOODLAND PARK AVE N AND N MOTOR PL,0, ,NONE,-122.344589594976,47.6586701202518
-122.286059642334,47.5370651542062,77,17249,1281594.23801,199292.23002,34560,13,73710,GRDWM,S MYRTLE PL AND S OTHELLO ST,1, ,NONE,-122.286059643683,47.5370651541889
-122.30727779865,47.6379234775265,78,9906,1277058.58898,236174.73297,28440,13,31717,NE,19TH AVE E AND BOYER AVE E,2, ,NONE,-122.307277800003,47.6379234775089
-122.38954529398,47.5593266578691,79,15419,1256200.91472,207910.48743,32845,13,61503,SW,45TH AVE SW AND SW EDMUNDS ST,0, ,NONE,-122.38954529533,47.5593266578505
-122.292998193732,47.584470175757,80,13473,1280208.58348,216613.23919,31445,13,52155,SE,31ST AVE S AND S HILL ST,3, ,NONE,-122.292998195082,47.5844701757396
-122.285288568099,47.711885275169,81,3442,1282987.72793,263045.62733,36826,13,228702,N,40TH AVE NE AND NE 115TH ST,0, ,NONE,-122.285288569453,47.7118852751516
-122.364425219344,47.6296007050087,82,10529,1262911.98494,233414.53124,28580,13,34138,MGNL-QA,6TH AVE W AND W HIGHLAND DR,0, ,NONE,-122.364425220696,47.6296007049904
-122.312519406119,47.5716319426213,83,14552,1275301.82994,212023.1492,32532,13,58524,GRDWM,16TH AVE S AND S SPOKANE ST,2, ,NONE,-122.312519407469,47.5716319426036
-122.385749739878,47.5451209671386,84,16563,1257033.35607,202710.87757,33751,13,68107,SW,42ND AVE SW AND FAUNTLEROY WAY SW,1, ,NONE,-122.385749741227,47.5451209671201
-122.326730294791,47.566517221364,85,15004,1271758.32146,210225.57582,32390,13,57853,GRDWM,6TH AVE S AND S INDUSTRIAL EB WAY,2, ,NONE,-122.326730296141,47.5665172213462
-122.343544141328,47.6280195219917,86,10677,1268048.42219,232736.14941,28727,13,35120,MGNL-QA,AURORA AVE N AND WARD ST,1, ,NONE,-122.34354414268,47.6280195219737
-122.358956325948,47.6532551087928,87,8565,1264431.2538,242014.36689,26678,13,21311,LKUN,LEARY WAY NW AND NW 36TH E ST,1, ,NONE,-122.3589563273,47.6532551087746
-122.32972304642,47.5228224100021,88,18231,1270709.7324,194304.60556,35191,13,78707,GRDWM,4TH AVE S AND S HENDERSON S ST,0, ,NONE,-122.329723047769,47.5228224099842
-122.322649276559,47.6827819014453,89,5535,1273586.31352,252607.44108,24608,13,5851,NW,NE MAPLE LEAF PL AND DEAD END,0, ,NONE,-122.322649277912,47.6827819014275
-122.38529614016,47.6997214380171,90,4088,1258282.54391,259090.05459,36913,13,230145,BLRD,23RD AVE NW AND NW 97TH ST,0, ,NONE,-122.385296141513,47.6997214379986
-122.293391672531,47.6909231112648,91,4898,1280848.15878,255438.45113,37684,13,234350,NE,32ND AVE NE AND NE 86TH ST,0, ,NONE,-122.293391673884,47.6909231112473
-122.353950370934,47.6924143289355,92,4703,1265947.02033,256271.10956,37449,13,232726,NW,PHINNEY AVE N AND N 87TH ST,0, ,NONE,-122.353950372287,47.6924143289174
-122.38677811089,47.5611064674051,93,15294,1256897.12029,208545.76423,31916,13,54344,SW,CALIFORNIA AVE SW AND SW ALASKA ST,2, ,CITY,-122.386778112239,47.5611064673866
-122.296655780983,47.6225156286577,94,11096,1279569.95923,230505.52694,29258,13,37327,CNTRL,E ARTHUR PL AND E HARRISON ST,0, ,NONE,-122.296655782335,47.6225156286402
-122.290360607643,47.6128973602783,95,11788,1281055.70489,226968.29123,30263,13,42556,CNTRL,33RD AVE AND E UNION ST,3, ,NONE,-122.290360608995,47.6128973602609
-122.287217681815,47.6591383503385,96,8034,1282149.42214,243817.73585,27409,13,25520,NE,NE 42ND ST AND DEAD END 2,0, ,NONE,-122.287217683168,47.6591383503211
-122.298489418094,47.5916351849731,97,12968,1278903.40819,219252.06133,30684,13,45362,CNTRL,26TH AVE S AND S WADSWORTH PL,0, ,NONE,-122.298489419445,47.5916351849556
-122.286141447683,47.5586581759813,98,15580,1281722.71801,207167.5849,33567,13,66510,SE,37TH AVE S AND S EDMUNDS ST,0, ,NONE,-122.286141449033,47.558658175964
-122.323415471054,47.6152311418977,99,11599,1272920.54866,227975.51965,29734,13,40109,E,BOYLSTON AVE AND E PINE ST,2, ,NONE,-122.323415472406,47.6152311418799
-122.36365218589,47.7232752931507,100,2860,1263781.98609,267573.28916,35624,13,218317,NW,6TH AVE NW AND NW 130TH ST,0, ,NONE,-122.363652187244,47.7232752931324
-122.268233116964,47.553336376005,101,16067,1286107.52237,205143.76026,33684,13,67533,SE,52ND AVE S AND WILSON N AVE S,2, ,NONE,-122.268233118314,47.5533363759879
-122.366180495957,47.6475360101034,102,8993,1262609.56318,239964.02859,26779,13,21751,MGNL-QA,W ETRURIA ST AND DEAD END,0, ,NONE,-122.366180497309,47.6475360100851
-122.314635397274,47.6242587679162,103,10982,1275149.07397,231226.06941,29007,13,36319,E,14TH AVE E AND E MERCER ST,0, ,NONE,-122.314635398626,47.6242587678985
-122.355414875192,47.7014610842843,104,3995,1265651.67953,259577.54541,37396,13,232517,NW,GREENWOOD AVE N AND N 100TH ST,2, ,NONE,-122.355414876545,47.7014610842661
-122.264912622739,47.5267342964826,105,18014,1286746.8345,195426.66406,35429,13,81530,SE,SEWARD PARK AVE S AND S CLOVERDALE ST,2, ,NONE,-122.264912624088,47.5267342964654
-122.320218754801,47.6845964004996,106,5374,1274197.683,253257.60914,24415,13,5144,N,8TH AVE NE AND NE 77TH ST,0, ,NONE,-122.320218756154,47.6845964004819
-122.370764341112,47.6420190490434,107,9429,1261439.71358,237974.57041,27902,13,28556,MGNL-QA,WESTVIEW DR W AND W HALLADAY ST,0, ,NONE,-122.370764342464,47.642019049025
-122.275863693863,47.6731961283251,108,6547,1285043.06464,248891.98021,26101,13,16112,NE,ANN ARBOR AVE NE AND NE 60TH ST,0, ,NONE,-122.275863695216,47.6731961283079
-122.287619358993,47.5966017992318,109,12726,1281619.40461,221012.51113,35554,13,146855,CNTRL,LAKESIDE UPPER AVE S AND S LANE ST,0, ,NONE,-122.287619360344,47.5966017992145
-122.296542641711,47.7319766703966,110,2528,1280356.97132,270425.44839,36003,13,221117,N,30TH AVE NE AND NE 143RD ST,3, ,NONE,-122.296542643065,47.7319766703792
-122.361011710665,47.5708949665337,111,14569,1263328.44497,211988.21774,286979,13,55275,DLRD,22ND AVE SW CONNCTR TRL AND DELRIDGE CONNCTR TRL,0, ,NONE,-122.361011712015,47.5708949665154
-122.302410165793,47.5895623966354,112,13113,1277921.68607,218514.56117,287008,13,45867,SE,MOUNTAINS TO SOUND TRL AND S ATLANTIC ST,0, ,NONE,-122.302410167143,47.5895623966179
-122.276351923262,47.5203360622016,113,18426,1283877.34022,193146.0046,286941,13,80463,SE,45TH AVE S AND S SHELL ST,0, ,NONE,-122.276351924611,47.5203360621843
-122.297848430125,47.566081859203,114,15034,1278884.17619,209929.77959,335198,13,58453,GRDWM,29TH AVE S AND S DAKOTA ST,0, ,NONE,-122.297848431476,47.5660818591855
-122.299088443917,47.6447002481443,115,9259,1279124.26988,238607.65713,493077,13,31258,NE,MONTLAKE BV EB ON RP AND SR520 EB,4, ,NONE,-122.299088445269,47.6447002481268
-122.291519627248,47.7143505975308,116,3315,1281471.04492,263973.73562,36629,13,227132,N,33RD PL NE AND 35TH AVE NE,2, ,NONE,-122.291519628602,47.7143505975134
-122.360792235125,47.6629168822983,117,7482,1264048.80516,245546.93138,25363,13,12364,LKUN,3RD AVE NW AND NW 47TH S ST,3, ,NONE,-122.360792236478,47.6629168822801
-122.351116930745,47.7021714959788,118,3932,1266714.88696,259815.72857,37403,13,232524,NW,EVANSTON AVE N AND N 101ST ST,0, ,NONE,-122.351116932099,47.7021714959607
-122.347085752087,47.6391042706541,119,9763,1267254.81809,236795.85706,27995,13,29705,MGNL-QA,5TH AVE N AND LYNN ST,0, ,NONE,-122.347085753439,47.639104270636
-122.368931096363,47.6420144068011,120,9433,1261891.51492,237963.85476,27904,13,28558,MGNL-QA,9TH AVE W AND W HALLADAY ST,0, ,NONE,-122.368931097715,47.6420144067828
-122.39058469845,47.5423058700551,121,16806,1255818.70442,201708.36339,165436,13,68530,SW,45TH AVE SW AND SW WILLOW ST,0, ,NONE,-122.390584699799,47.5423058700365
-122.315189383296,47.6848917401623,122,5355,1275438.33503,253341.42585,24413,13,5142,NE,12TH AVE NE AND NE 77TH ST,1, ,NONE,-122.315189384649,47.6848917401446
-122.312555979159,47.7157903572475,123,3228,1276303.48575,264597.64141,36449,13,226124,N-NW,15TH AVE NE AND NE 120TH ST,1, ,HALFPED,-122.312555980513,47.7157903572298
-122.320647655826,47.5222503445348,124,18273,1272947.6396,194052.50828,35133,13,78323,GRDWM,S DIRECTOR ST AND DEAD END 4 ,0, ,NONE,-122.320647657175,47.5222503445171
-122.28401386517,47.5737305442618,125,14294,1282351.5815,212654.57038,32637,13,59511,SE,BELLA VISTA AVE S AND S HORTON ST,0, ,NONE,-122.284013866521,47.5737305442445
-122.298787053479,47.693122386825,126,4705,1279534.87417,256265.78297,37665,13,234325,NE,27TH AVE NE AND NE 89TH ST,0, ,NONE,-122.298787054832,47.6931223868075
-122.328179142796,47.5312807564492,127,17638,1271151.05746,197381.91833,35147,13,78504,GRDWM,5TH AVE S AND S MONROE ST,0, ,NONE,-122.328179144145,47.5312807564313
-122.348835120845,47.6297456015181,128,10535,1266756.40734,233391.28772,28844,13,35535,MGNL-QA,4TH AVE N AND HIGHLAND DR,0, ,NONE,-122.348835122197,47.6297456015
-122.27822491257,47.5593740978698,129,15519,1283681.95898,207391.88366,33416,13,66104,SE,44TH AVE S AND S ANGELINE ST,0, ,NONE,-122.27822491392,47.5593740978525
-122.318796250527,47.6575158716314,130,8166,1274357.34124,243374.63006,27094,13,23134,NE,9TH AVE NE AND NE 42ND ST,1, ,NONE,-122.31879625188,47.6575158716136
-122.325053161495,47.5298312804277,131,17738,1271912.9109,196838.31565,35183,13,78668,GRDWM,S SOUTHERN ST AND DEAD END,0, ,NONE,-122.325053162844,47.5298312804099
-122.296358518195,47.7229000511462,132,2913,1280339.33523,267114.33517,36054,13,221325,N,30TH AVE NE AND NE 130TH ST,3, ,NONE,-122.29635851955,47.7229000511287
-122.289298523484,47.5876818711282,133,13244,1281143.62169,217767.24879,30833,13,46510,SE,LAKE WASHINGTON BLVD S AND S MASSACHUSETTS ST,0, ,NONE,-122.289298524834,47.5876818711109
-122.400452506422,47.6978818140969,134,4208,1254537.49712,258494.78828,36869,13,229302,BLRD,NW ESPLANADE AND DEAD END,0, ,NONE,-122.400452507776,47.6978818140782
-122.398394259512,47.6816388165213,135,5549,1254923.75325,252560.80377,23997,13,2705,BLRD,32ND AVE NW AND NW 73RD ST,3, ,NONE,-122.398394260866,47.6816388165026
-122.331006458833,47.5334397108899,136,17477,1270468.05023,198182.85939,34272,13,71731,GRDWM,S PORTLAND ST AND DEAD END 2 ,0, ,NONE,-122.331006460182,47.533439710872
-122.381958844309,47.5356980313644,137,17257,1257900.26295,199255.55469,33817,13,68336,SW,39TH AVE SW AND SW WEBSTER ST,0, ,NONE,-122.381958845658,47.5356980313459
-122.311580473397,47.5983275587671,138,12637,1275720.59961,221754.52662,30761,13,45552,CNTRL,16TH AVE S AND S KING ST,0, ,NONE,-122.311580474748,47.5983275587495
-122.321272862512,47.5661997849313,139,15016,1273103.13042,210083.71188,32292,13,57316,GRDWM,9TH AVE S AND S ADAMS ST,0, ,NONE,-122.321272863862,47.5661997849135
-122.387576486873,47.6686786924272,140,6862,1257492.46442,247780.35474,25143,13,11136,BLRD,24TH AVE NW AND NW MARKET ST,2, ,CITY,-122.387576488226,47.6686786924087
-122.289239313447,47.6152069668723,141,11646,1281348.16492,227805.37053,30251,13,42540,CNTRL,34TH AVE AND E PINE ST,3, ,NONE,-122.289239314799,47.6152069668549
-122.323457609121,47.6420295250635,142,9501,1273099.42303,237749.01009,28209,13,30131,LKUN,BOYLSTON AVE E AND E LOUISA ST,2, ,NONE,-122.323457610473,47.6420295250458
-122.387210102808,47.5453254695039,143,16552,1256674.26103,202792.73639,33753,13,68109,SW,CALIFORNIA AVE SW AND SW BEVERIDGE PL,2, ,NONE,-122.387210104158,47.5453254694853
-122.354147466379,47.6185970215876,144,11322,1265366.4131,229351.30563,29662,13,39516,DWNTN,DENNY WAY AND WARREN AVE N,1, ,NONE,-122.35414746773,47.6185970215694
-122.326892286002,47.5548831462894,145,15840,1271635.98187,205983.44845,33157,13,64519,GRDWM,6TH AVE S AND S BENNETT ST,0, ,NONE,-122.326892287352,47.5548831462716
-122.292854473488,47.7155309279838,146,3260,1281150.66502,264410.43219,36618,13,227120,N,33RD AVE NE AND NE 120TH ST,0, ,NONE,-122.292854474842,47.7155309279664
-122.311205810046,47.6286565990911,147,10650,1276025.46105,232813.69079,529881,13,37651,E,16TH AVE E AND E PROSPECT E ST,0, ,NONE,-122.311205811398,47.6286565990735
-122.306281129651,47.5730898900691,148,14335,1276851.64422,212525.32545,32545,13,58654,GRDWM,S HINDS ST AND DEAD END 3,0, ,NONE,-122.306281131002,47.5730898900515
-122.366110371561,47.6738071071991,149,6370,1262817.69681,249544.57976,25265,13,12127,BLRD-NW,8TH AVE NW AND NW 62ND S ST,2, ,NONE,-122.366110372914,47.6738071071808
-122.352071872222,47.6589578891557,150,7982,1266168.73656,244060.58104,26952,13,22535,LKUN,DAYTON AVE N AND N 43RD ST,3, ,NONE,-122.352071873575,47.6589578891375
-122.371528071271,47.6402414199168,151,9605,1261238.51934,237330.04407,27917,13,28573,MGNL-QA,11TH AVE W AND SOUND VIEW S TR W,0, ,NONE,-122.371528072623,47.6402414198984
